Checklist Question,Matched Subcategories,Scores
Has the vessel avoided loading of heavy containers over light or at the top of a stack in a deck stow? (V)?,"Stowage of cargo # Stowage incl. uprights, lashing, etc (timber) # Stowage",0.733 # 0.727 # 0.718
Is there recorded evidence to show that the lashing pattern from the Cargo Securing Manual has been provided to the terminal and is the information for the lashing pattern posted at the ship’s access? (V)?,"Cargo securing manual # Lashing material # Stowage incl. uprights, lashing, etc (timber)",0.772 # 0.770 # 0.754
Is had the Ballast Water Management Plan for the present port stay been executed? (V)?,"Ballast Water Management Certificate # Loading/Ballast condition (Tanker) # Ballast, fuel and other tanks",0.724 # 0.708 # 0.698
Is there documented evidence of carrying out a spot check of actual loading against loading plan? (V)?,Freeboard marks # Stability/strenght/loading information and instruments # Ship Energy Efficiency Management plan,0.697 # 0.676 # 0.668
Is there documented evidence of signing off completed lashing per bay and is all lashing gear used compatible with the lashing plan? (V)?,Lashing material # Load lines (including Exemption) # Freeboard marks,0.673 # 0.642 # 0.637
Is the bridge visibility condition for the next port confirmed? (V)?,"Navigation bridge visibility # Automatic radar plotting aid (ARPA) # Windows, side scuttles and deadlights",0.706 # 0.682 # 0.682
Is there evidence to show that evaluation of forces acting on the containers have been calculated and the correct cargo-securing devices are being used to secure the containers to the ship (V)?,"Stability/strenght/loading information and instruments # Stowage incl. uprights, lashing, etc (timber) # Bulkheads - operational damage",0.754 # 0.745 # 0.739
Is there documented evidence that lashings were tightened after departure once the lashings and containers settled in? (V)?,"Lashing material # Stowage incl. uprights, lashing, etc (timber) # Cargo securing manual",0.751 # 0.715 # 0.707
Have personnel engaged in cargo securing operations been provided with relevant training and familiarisation? (V)?,Security drills # Security awareness training # Training and qualification MLC - Personnel safety training,0.724 # 0.719 # 0.715
"Is the vessel equipped with sufficient portable radio equipment for use and has a direct radio communication capability been stablished between the terminal (planner, foreman, and watchman) and the ship duty’s officer? (V)?",Main installation # MF radio installation # VHF radio installation,0.737 # 0.735 # 0.733
"Has an IMDG spotting plan been prepared, updated, and made available for emergency preparedness? (V)?",Facilities for reception of marine safety information # Stowage/segregation/packaging of dangerous goods # VHF EPIRB,0.659 # 0.655 # 0.649
Is there a procedure for monitoring the temperature of refrigerated containers and are records maintained? (V)?,Food temperature # Cold room temperature # Temperature control,0.673 # 0.668 # 0.665
"Is if refrigerated containers are carried, are sufficient spare parts available on board? (V)?",Medical equipment # Lifeboat inventory # Loading and unloading equipment,0.695 # 0.685 # 0.684
Are officers familiar with the exothermic chain reaction and the stowage and segregation requirements for calcium hypochlorite in containers? (V)?,Temperature control # Dangerous liquid chemicals in bulk # Stowage/segregation/packaging of dangerous goods,0.720 # 0.714 # 0.713
Is an adequate record of all cargo operation activities maintained during loading and unloading? (V)?,Cargo operations including equipment # Stability/strenght/loading information and instruments # Cargo operation,0.714 # 0.695 # 0.690
Is the vessel provided with operator’s procedures for safe operation of the self- unloading system? (V)?,Stability/strenght/loading information and instruments # Booklet for bulk cargo loading/unloading/stowage # Loading and unloading equipment,0.714 # 0.710 # 0.709
Is the vessel provided with self-unloading isolation procedures? (V)?,Stability/strenght/loading information and instruments # Booklet for bulk cargo loading/unloading/stowage # Stowage of liferafts,0.705 # 0.697 # 0.689
Have personnel engaged in operation of the self-unloading system been provided with relevant training and familiarisation? (V)?,Booklet for bulk cargo loading/unloading/stowage # Loading and unloading equipment # Operation of GMDSS equipment,0.678 # 0.675 # 0.667
"Are the ship’s crew aware of the safe operating requirements of tunnel conveyor watertight bulkhead doors and/or watertight doors in shuttle conveyor room, where applicable, and is a record of inspections and maintenance available on board? (V)?","Closing devices/watertight doors # Safe means of access deck - hold/tank, etc. # Bulkheads - operational damage",0.779 # 0.770 # 0.764
Are the officers and ratings aware of the location of the emergency stop devices; are the emergency stop devices in good order and is there recorded evidence of regular testing? (V)?,Maintenance of Life Saving Appliances # Operation of GMDSS equipment # Radio log (diary),0.688 # 0.680 # 0.677
Are light fittings in the tunnel conveyor Ex‘d’ rated and in good condition? (V)?,Electric equipment in general # Low level lighting in corridors # Lighting (Working spaces),0.654 # 0.646 # 0.641
Are lights and warning devices of the self-unloading system regularly tested and the result recorded? (V)?,Loading and unloading equipment # Stability/strenght/loading information and instruments # Bulk carriers additional safety measures,0.636 # 0.629 # 0.629
Is there a procedure for suppression of dust during cargo operations? (V)?,Cargo operations including equipment # Fire protection cargo deck area # Ventilation procedures / equipment,0.690 # 0.688 # 0.679
Is the belt cleaning system/scrapper in good order and maintained as per manufacturer recommendation and is there evidence to show that the belt cleaners have been inspected regularly for proper function? (V)?,Maintenance of Fire protection systems # Tank washing equipment # Efficient stripping,0.686 # 0.675 # 0.667
"Are the belt speed- sensors, belt scales and slip detecting device, where applicable, in good order and maintained as per manufacturer recommendations? (V)?","Steering gear # Gauges, thermometers etc. # Winches and capstans",0.654 # 0.653 # 0.635
Are the cargo hold discharge gates and water-tight doors clearly marked to indicate the hold and spaces they serve? (V)?,"Spaces in cargo areas # Openings to cargo area, doors, ..., scuttles # Cargo ports and other similar openings",0.736 # 0.728 # 0.715
Has the hydraulic oil of the self-unloading system been tested regularly for contamination and deterioration as per manufacturer recommendation?,15 PPM alarm arrangements # COW operations and equipment manual # Oil and oily mixtures from machinery spaces,0.643 # 0.641 # 0.637
"Are the tunnel-conveyor emergency stop, speed switch, and belt misalignment switch in good order and inspected regularly? (V)?",Steering gear # Protection machinery # Guards / fencing around dangerous machinery parts,0.676 # 0.664 # 0.661
Is the tunnel-conveyor hydraulic system arrangement in good condition and free from oil leakage? (V)?,"Cargo transfer - Tankers # Machinery # Ballast, fuel and other tanks",0.674 # 0.671 # 0.646
"Are boom dust cover, spill tray and telescopic chute arrangements, where applicable, adequate? (V)?","Fire protection cargo deck area # Covers (hatchway-, portable-, tarpaulins, etc.) # Safe means of access deck - hold/tank, etc.",0.639 # 0.638 # 0.624
"Has the sequence of the cargo plan been followed by the cargo-gate operators, and is the movement of the cargo-gate operators reported to the duty officer and is there evidence to confirm that movement of cargo-gate operators has been monitored to ensure compliance with the cargo plan? (V)?",Pilot ladders and hoist/pilot transfer arrangements # Cargo operation # Long-Range Identification and Tracking system (LRIT),0.721 # 0.719 # 0.717
Is the vibrator system in good order and is there recorded evidence of regular inspection as per manufacturer recommendations? (V)?,Maintenance of Fire protection systems # Record of inspection # Cleanliness,0.656 # 0.638 # 0.634
"Is the lift conveyor in good order, free of corrosion, damage and leakage and is the spillage chute of the lift conveyor, where applicable, collecting the cargo spillage effectively? (V)?","Cargo transfer - Tankers # Loading and unloading equipment # Safe means of access deck - hold/tank, etc.",0.696 # 0.696 # 0.694
"Are walk-rounds of the entire system carried out regularly, recorded and are the staff conducting the rounds aware of their duties? (V)?",Record of inspection (Accommodation) # Radio log (diary) # Security drills,0.634 # 0.630 # 0.628
Is the condition of belts’ tension checked during cargo operations and is there evidence to show that the belt tension and alignment is inspected regularly for proper function? (V)?,"Lashing material # Stowage incl. uprights, lashing, etc (timber) # Bulkheads - operational damage",0.737 # 0.708 # 0.691
Are the tunnel trash pumping and disposal arrangements in good order and is the overboard valve provided with a notice warning against discharge of oil or oily mixture? (V)?,"Pumping, piping and discharge arrangements # Cleanliness of engine room # Standard discharge connection",0.757 # 0.722 # 0.712
"Is a water-level alarm system provided for the tunnel bilge well, and is the alarm system regularly tested and the result recorded? (V)?",Water level detectors on single hold cargo ships # Water level indicator # Bridge Navigational Watch Alarm System (BNWAS),0.705 # 0.697 # 0.662
"Are the emergency stop switch, misalignment switch and speed switch for the boom conveyor and/or shuttle conveyor, where applicable, in good order and are the switches regularly inspected and the result recorded? (V)?",Loading and unloading equipment # Steering gear # Cargo transfer - Tankers,0.654 # 0.644 # 0.642
"Is the boom conveyor in good order, free of corrosion, damage, and oil leakage? (V)?",Machinery # Cargo transfer - Tankers # Decks - corrosion,0.653 # 0.649 # 0.636
"Are the boom conveyor and /or shuttle conveyor, where applicable, walkway lights and, floodlights in good working condition? (V)?","Low level lighting in corridors # Lighting (Working spaces) # Emergency lighting, batteries and switches",0.642 # 0.633 # 0.625
"Is all electric equipment including cable box, cable run and cable tray and shore interlock connection system on the boom conveyor in good order? (V)?",Maintenance / duplication of equipment # Electrical # Loading and unloading equipment,0.647 # 0.645 # 0.637
Are the officers aware of the slewing/swing out limits of the boom conveyor/shuttle conveyor and is there recorded evidence of verification of function of slew/luff limit switch? (V)?,"Revolution counter # Pilot ladders and hoist/pilot transfer arrangements # Safe means of access deck - hold/tank, etc.",0.698 # 0.688 # 0.681
Are the idlers and return rolls of the self-unloading system free from build-up material and are they rotating freely? (V)?,Loading and unloading equipment # Bulwarks and freeing ports # Guards / fencing around dangerous machinery parts,0.642 # 0.627 # 0.618
"Is the ventilation system of the tunnel area in order, and is there documented evidence to confirm that the ventilators are working to their operational capacity? (V)?",Ventilation (Accommodation) # Ventilation (Working spaces) # Ventilation procedures / equipment,0.683 # 0.682 # 0.667
Is the tunnel area clean free from refuse and is the overall standard of housekeeping satisfactory? (V)?,"Cleanliness # Dirty, parasites",0.711 # 0.694 # 0.687
"Is the vessel is provided with guidelines for ‘the prevention, early detection and suppression of fire in the cargo conveyor tunnel’ and are the crew familiar with the guidelines? (V)?",Fire protection cargo deck area # Fire drills # Fire control plan,0.793 # 0.778 # 0.762
Does the vessel stability information provide guidance for shipboard personnel on the effect of flooding the tunnel? (V)?,Stability/strenght/loading information and instruments # Shipboard working arrangements # Information on the A/A-max ratio (Roro/pass.only),0.729 # 0.726 # 0.718
"Is if the electric voltage power of vessel is greater than 1000 volts (high voltage), is staff suitably trained? (V)?",Electrical # Doc evidence for personnel on passenger ships # Fire drills,0.699 # 0.670 # 0.668
"Is the vessel equipped with sufficient intrinsically safe portable radios for use inside the tunnel and, are the radio ‘dead zones’ within tunnel identified and safeguards put in place? (V)?",Cargo ship safety radio (including exemption) # Main installation # Satellite EPIRB 406MHz / 1.6 GHz,0.757 # 0.756 # 0.751
"Are the cargo holds, including the underside of hatch covers, free of loose rust scale and paint flakes? (V)?","Cargo and other hatchways # Covers (hatchway-, portable-, tarpaulins, etc.) # Paint condition",0.716 # 0.699 # 0.687
Is the master/chief officer suitably trained in the inspection and maintenance of hatch covers? (V)?,"Cargo and other hatchways # Covers (hatchway-, portable-, tarpaulins, etc.) # Record of inspection (Accommodation)",0.698 # 0.674 # 0.663
Are adequate procedures in place for carrying out hose and / or ultrasonic testing of hatch covers and is documented evidence of such testing available? (V)?,"Cargo and other hatchways # Covers (hatchway-, portable-, tarpaulins, etc.) # Maintenance of Fire protection systems",0.718 # 0.699 # 0.657
"Are the compression bars and the coaming tops’ water channels clean, free of corrosion and maintained in good condition? (V)?",Bulkhead –corrosion # Bulkheads - operational damage # Pump room bottom protection,0.662 # 0.652 # 0.650
"Are the drain holes of coaming clean, the inboard coaming faces free from any vertical rust staining and are the non-return valves in good condition? (V)?","Logbook entries referring AFS # Pumping, piping and discharge arrangements # Scuppers, inlets and discharges",0.633 # 0.625 # 0.617
Are quick-acting cleats and holders all in place and in good working condition with the rubber washers flexible and free from paint and crack? (V)?,Others,
"Is if the hatch panel side and end plates are in steel-to-steel contact with the coaming tops when closed, are the coaming tops free from grooving or wear? (V)?","Hull - corrosion # Cargo and other hatchways # Covers (hatchway-, portable-, tarpaulins, etc.)",0.670 # 0.658 # 0.641
"Is if the hatch covers are supported by bearing pads, chocks, or support blocks, are they free from wear or damage? (V)?","Cargo and other hatchways # Covers (hatchway-, portable-, tarpaulins, etc.) # Lashing material",0.711 # 0.708 # 0.644
Are the side and cross-joint rubber seals in good condition? (V)?,"Closing devices/watertight doors # Maintenance of Fire protection systems # Covers (hatchway-, portable-, tarpaulins, etc.)",0.624 # 0.608 # 0.603
Are hatch cover panels free of misalignment? (V)?,"Covers (hatchway-, portable-, tarpaulins, etc.) # Cargo and other hatchways # Openings to cargo area, doors, ..., scuttles",0.651 # 0.650 # 0.609
"Are the cross-joint seal retaining channels and the cross-joint compression bar straight, free of corrosion and damage, and are the channel supports and brackets in good condition? (V)?","Bulkheads - operational damage # Bulkhead –corrosion # Beams, frames, floors-op.damage",0.672 # 0.653 # 0.648
"Are the following parts of the hatch covers, where applicable, all in good order and do they appear to be well maintained? (V)?","Cargo and other hatchways # Covers (hatchway-, portable-, tarpaulins, etc.) # Openings to cargo area, doors, ..., scuttles",0.705 # 0.703 # 0.644
"Are cross-joint wedges and their wedge bridge (where fitted) in place, operational and effective? (V)?",Rudder angle indicator # Fire doors/openings in fire-resisting divisions # Automatic radar plotting aid (ARPA),0.619 # 0.616 # 0.610
"Is if hatch covers are hydraulically operated, has the hydraulic oil been tested regularly for contamination and deterioration? (V & M)?","Cargo and other hatchways # Covers (hatchway-, portable-, tarpaulins, etc.) # Openings to cargo area, doors, ..., scuttles",0.696 # 0.667 # 0.645
Are officers familiar with emergency hatch cover operation arrangements and is there evidence of effective training of personnel available on board? (V)?,Operation of GMDSS equipment # Abandon ship drills # Fire drills,0.727 # 0.726 # 0.725
Has a thorough examination and load test of lifting appliances been carried out and is the record of the test and examination being maintained properly? (V & M)?,Maintenance of Fire protection systems # Stability/strenght/loading information and instruments # Freeboard marks,0.683 # 0.650 # 0.635
"Are the hoist and luffing wires of cranes, where fitted, reported in good order and is there recorded evidence of regular inspection and maintenance? (V)?",Pilot ladders and hoist/pilot transfer arrangements # Loading and unloading equipment # Ropes and wires,0.664 # 0.652 # 0.648
"Are the main structures, foundation structures and mountings of the cargo cranes free of apparent defect or damage? (V)?",Spaces in cargo areas # Loading and unloading equipment # Bulkheads - operational damage,0.691 # 0.678 # 0.674
"Is the machinery of the cargo crane, including controls in the operator’s cab inspected, tested, and maintained as per manufacturer’s recommendations? (V)?",Loading and unloading equipment # Cargo transfer - Tankers # Operation of machinery,0.678 # 0.666 # 0.657
Are the ship’s grabs being maintained as per manufacturer recommendation and have the maintenance requirements been incorporated in the PMS? (V)?,Operation/maintenance # Maintenance / duplication of equipment # Facilities for reception of marine safety information,0.743 # 0.740 # 0.732
Are the loose gears of lifting appliances marked clearly and are the certificates of the loose gears available and traceable on board? (V)?,"Gauges, thermometers etc. # Freeboard marks # Loading and unloading equipment",0.672 # 0.668 # 0.665
Has the vessel been provided with procedures for the safe operation of the gantry crane? (V)?,Loading and unloading equipment # Stability/strenght/loading information and instruments # Safe means of access shore - ship,0.727 # 0.722 # 0.718
"Is if gantry cranes are used for lifting hatch covers, are the hydraulic cylinders used for lifting the hatch covers free from leaks and are the hatch covers being marked correctly for precise positioning of the lifting beams and hooks where applicable? (V)?","Cargo and other hatchways # Covers (hatchway-, portable-, tarpaulins, etc.) # Loading and unloading equipment",0.704 # 0.682 # 0.663
"Are check lists in place and being used to cover the check before use, starting the crane and releasing the crane from sea stowage? Is a procedure in place for safe travelling of the gantry crane on deck and are crew familiar with the procedure? (V)?",Pilot ladders and hoist/pilot transfer arrangements # Booklet for bulk cargo loading/unloading/stowage # Safe means of access shore - ship,0.713 # 0.710 # 0.709
Is the vessel provided with a specific isolation procedure for the gantry cranes? (V)?,Special requirements # Loading and unloading equipment # Emergency towing arrangements and procedures,0.653 # 0.648 # 0.644
Are the visual and audible warning signals provided for gantry cranes in the deck area in good order and tested regularly? (V)?,"Warning notices # Bridge Navigational Watch Alarm System (BNWAS) # Lights, shapes, sound-signals",0.677 # 0.661 # 0.660
Are the safety devices of gantry cranes in good order and is there recorded evidences of regular testing? (V)?,Loading and unloading equipment # Safe means of access # Guards / fencing around dangerous machinery parts,0.701 # 0.681 # 0.677
Are the main hoist overload protection and unbalance detection systems in good order and tested as per manufacturer’s recommendation? Are officers aware of the safe operation parameters of gantry cranes and is this information posted in the ship’s office/ ballast control room? (V)?,Stability/strenght/loading information and instruments # Loading and unloading equipment # Pilot ladders and hoist/pilot transfer arrangements,0.746 # 0.736 # 0.717
"Is each gantry cranes provided with a storm locking arrangement and, does the arrangement appeared to be well maintained? (V)?",Loading and unloading equipment # Pilot ladders and hoist/pilot transfer arrangements # Guards / fencing around dangerous machinery parts,0.641 # 0.627 # 0.625
Are the gantry cranes electrically bonded and earthed to the vessel’s structure? (V)?,Stability/strenght/loading information and instruments # Loading and unloading equipment # Bulkheads - operational damage,0.628 # 0.622 # 0.615
"Are the mechanical brakes for the gantry crane motions in good order, tested regularly, and recorded? (V)?",Operation of machinery # Guards / fencing around dangerous machinery parts # Loading and unloading equipment,0.642 # 0.641 # 0.640
"Are the anti-collision and deceleration devices of the gantry cranes in good order and tested regularly, and are track wheels at the deck level fitted with foot guards? (V)?",Loading and unloading equipment # Guards / fencing around dangerous machinery parts # Steering gear,0.669 # 0.665 # 0.650
"Is if the operator’s cabin of a gantry crane travels with the horizontal movement of a load, is the crane operator able to leave the cabin safely in case of power failure or another emergency? (V)?",Loading and unloading equipment # Pilot ladders and hoist/pilot transfer arrangements # Safe means of access,0.703 # 0.684 # 0.682
"Are portable fire extinguishers located around the gantry cranes and in good condition, and are they maintained regularly? (V)?",Ready availability of fire fighting equipment # Fire fighting equipment and appliances # Maintenance of Fire protection systems,0.699 # 0.690 # 0.648
Are the driver’s cabs and local operating stations of the gantry cranes maintained in good condition? (V)?,Loading and unloading equipment # Pilot ladders and hoist/pilot transfer arrangements # Bulkheads - operational damage,0.652 # 0.649 # 0.641
"Are the retractable jib roofs, sides’ curtains and their securing arrangement being maintained in good condition, are checklists for the operation of the jib roof and curtains available and is the evidence of their consistent use? (V)?","Windows, side scuttles and deadlights # Pilot ladders and hoist/pilot transfer arrangements # Covers (hatchway-, portable-, tarpaulins, etc.)",0.659 # 0.657 # 0.656
"Is the telephone system provided for communication between driver’s cab, electrical control room, hatch cover control station and deck level in good order and is there evidence of regular testing and maintenance? (V)?",Facilities for reception of marine safety information # Main installation # Operation/maintenance,0.686 # 0.683 # 0.678
"Is if a platform has been provided on the top of the crane roof for helicopter winching operations, does the area comply with the requirements of ICS guidelines? (V)?",Helicopter landing and pick-up area # Pilot ladders and hoist/pilot transfer arrangements # Safe means of access,0.683 # 0.662 # 0.658
"Is if the gantry crane is equipped with a pilot ladder hoist, is the system being by-passed and not in use? (V)?",Pilot ladders and hoist/pilot transfer arrangements # Safe means of access # Safe means of access shore - ship,0.701 # 0.678 # 0.662
"Have a Crane Monitoring System and a port/crane performance logger been provided, are they in good condition and regularly monitored? Are faults recorded in the fault log, verified and fault-finding rectification procedures recorded appropriately? (V)?","Loading and unloading equipment # Revolution counter # Gauges, thermometers etc.",0.687 # 0.680 # 0.671
"Is the emergency pump for the operation of the crane maintained in good condition, are crew familiar with their duties in the using the emergency pump and are emergency drills being carried out? (V)?",Emergency fire pump and its pipes # Abandon ship drills # Operation of GMDSS equipment,0.725 # 0.703 # 0.693
"Is the steel structure of girders and trolleys free of deformation? Are the access and service platforms of the gantry cranes, including vertical ladders, ladders cages, rungs, stations and platforms being maintained, free of corrosion and in good order? (V)?",Access/structure # Permanent means of access # Safe means of access,0.699 # 0.687 # 0.686
"Are the cranes’ transverse rail, rack, tooth-rack, travelling pinion and travelling wheel free of cracks, misalignment, and abnormal wear; and is there evidence of regular inspection and maintenance? (V)?",Loading and unloading equipment # Guards / fencing around dangerous machinery parts # Decks - cracking,0.687 # 0.663 # 0.662
"Is there evidence to show that regular maintenance has been conducted on the AC motors, electromechanical brake, gear reducer and the blower motors? (V)?",Maintenance of Fire protection systems # Protection machinery # Steering gear,0.713 # 0.700 # 0.684
Has the hydraulic oil of the gantry crane system been tested regularly for contamination and deterioration as per manufacturer recommendation? (V)?,Machinery # Oil and oily mixtures from machinery spaces # COW operations and equipment manual,0.667 # 0.651 # 0.641
"Has the company established guidelines and procedures for the inspection, maintenance and wear zone management of the mooring lines and are they being implemented? (V & M)?",Other (load lines) # Load lines (including Exemption) # Ballast Water Management Certificate,0.705 # 0.705 # 0.701
"Does the vessel’s manager carry out regular safe mooring campaigns, learning from near misses and accidents related to mooring operations and are these shared with the fleet? (V & M)?",Winches and capstans # Ropes and wires # Other (mooring),0.689 # 0.665 # 0.657
Are the certificates of mooring lines and mooring tails available on board? (V & M)?,Certificates & Documentation - Ship Certificate # Certificates & Documentation - Crew Certificate # Load lines (including Exemption),0.713 # 0.706 # 0.705
Do mooring lines and mooring tails comply with industry guidelines and are they in good order? (V & M)?,Winches and capstans # Ropes and wires # Load lines (including Exemption),0.740 # 0.707 # 0.690
Is there a procedure for testing the winch brake rendering setting and is it being tested regularly? (V & M)?,Records of drills and steering gear tests # Winches and capstans # Winches & capstans,0.629 # 0.628 # 0.621
Are mooring lines correctly deployed and tended? (V)?,Ropes and wires # Winches and capstans # Adequate lighting - mooring arrangements,0.731 # 0.731 # 0.719
"Are there sufficient crew members on board to assist in the mooring operation, check and tend the mooring lines at regular intervals? (V)?",Adequate lighting - mooring arrangements # Winches and capstans # Emergency towing arrangements and procedures,0.706 # 0.704 # 0.673
"Are all mooring lines on winches correctly reeled on drums, and if made fast ashore, are winch brakes secured and winches out of gear? (V)?",Winches and capstans # Ropes and wires # Launching arrangements for survival craft,0.790 # 0.675 # 0.669
"Is on split drum winches, have the split drums been set up correctly after the completion of mooring operation? (V)?",Winches and capstans # Launching arrangements for survival craft # Adequate lighting - mooring arrangements,0.760 # 0.681 # 0.663
"Is if the mooring tails are used, have they properly connected to the main mooring lines in accordance with industry guidance? (V & M)?",Winches and capstans # Ropes and wires # Adequate lighting - mooring arrangements,0.729 # 0.696 # 0.680
"Are the mooring ropes stowed clear of the deck and are mooring stations well lit, clean and free from oil leaks? (V)?","Adequate lighting - mooring arrangements # Winches and capstans # Obstruction/slipping, etc.",0.686 # 0.662 # 0.661
Have heaving lines been constructed with a monkey’s fist at one end and are they free of any added weighting material? (V)?,Freeboard marks # Other (load lines) # Overloading,0.649 # 0.647 # 0.646
Is the whole mooring deck area marked with clearly visible signage and considered a danger? (V)?,"Freeboard marks # Safe means of access shore - ship # Obstruction/slipping, etc.",0.695 # 0.693 # 0.684
Are appropriate stoppers in use and are the mooring ropes turned up to bitts correctly? (V)?,Winches and capstans # Launching arrangements for survival craft # Adequate lighting - mooring arrangements,0.723 # 0.674 # 0.667
"Do controls, linkages, operating levers, brake drums, brake linings and pins of winches appear to be in good order? (V)?",Winches and capstans # Winches & capstans # Guards / fencing around dangerous machinery parts,0.682 # 0.655 # 0.632
"Are the pedestal fairleads, roller fairleads and other rollers free of grooving, well-greased and free to turn? (V)?",Others,
"Are the fairleads, rollers, bitts chocks and other items of mooring equipment clearly marked with the relevant SWL? (V)?",Freeboard marks # Winches and capstans # Load lines (including Exemption),0.690 # 0.659 # 0.655
"Are the windlasses, anchors, locking bars and cables in good order, operating effectively and is their maintenance incorporated in the plan maintenance system? (V)?",Anchoring devices # Winches and capstans # Maintenance / duplication of equipment,0.753 # 0.718 # 0.702
Have the anchors been tightly secured in the hawse pipe? (V)?,"Anchoring devices # Manholes / flush scuttles # Scuppers, inlets and discharges",0.702 # 0.695 # 0.695
Are the chain locker doors firmly battened down and are the bitter end securing arrangements located outside the chain locker and accessible? (V)?,Others,
Is the master aware of the limitations of anchoring equipment? (V)?,Anchoring devices # Winches and capstans,0.673 # 0.661 # 0.659
Has the vessel been provided with a ship-specific emergency towing booklet? (V)?,Emergency towing arrangements and procedures # Booklet for bulk cargo loading/unloading/stowage # Shipboard working arrangements,0.749 # 0.728 # 0.719
"If the vessel’s deadweight is 120,000 or more, does it meet the Pilbara Ports Authority (PPA) requirements for towing?",Load lines (including Exemption) # Stability/strenght/loading information and instruments # Tonnage certificate,0.695 # 0.690 # 0.687
Has a qualified person other than the master been designated to handle distress and safety radio communication? (V)?,Distress messages: obligations and procedures # Other (radio communication) # Certificates for radio personnel,0.746 # 0.734 # 0.733
"Is communication equipment, listed in the Record of Equipment attached to the Safety Radio Certificate or Safety Certificate (Form R or Form C), in good condition and has the GMDSS Logbook (the Radio Log) been maintained correctly and are daily, weekly and monthly tests being carried out? (V)?",Radio log (diary) # Cargo ship safety radio (including exemption) # Maintenance / duplication of equipment,0.796 # 0.767 # 0.765
"Has the Satellite EPIRB been correctly installed, tested and maintained? (V & M)?",VHF EPIRB # Satellite EPIRB 406MHz / 1.6 GHz # MF radio installation,0.673 # 0.666 # 0.647
Is the most current edition and up to date List of Radio Signals available on board? (V)?,VHF EPIRB # Satellite EPIRB 406MHz / 1.6 GHz # Facilities for reception of marine safety information,0.711 # 0.692 # 0.692
"Is the vessel equipped with sufficient portable two-way UHF radios, for use in general on-board operations? (V)?",Radio life-saving appliances # Emergency equipment for 2-way comm. # MF radio installation,0.764 # 0.747 # 0.743
Are Search and Rescue Radar Transponders (SARTs) in good order and tested regularly? (V)?,SART/AIS-SART # VHF EPIRB # Satellite EPIRB 406MHz / 1.6 GHz,0.743 # 0.675 # 0.668
Are survival craft portable VHF radios in good order and charged? (V)?,Radio life-saving appliances # Reserve source of energy # VHF EPIRB,0.739 # 0.706 # 0.699
"Is the AIS static, dynamic and voyage data up to date and has an AIS annual test been performed and the record available on board? (V & M)?",Automatic Identification System (AIS) # Thickness measurement report # AIS test report,0.736 # 0.700 # 0.700
Is there a Shore-Based Maintenance Agreement in place to fulfil the maintenance requirements?,Maintenance / duplication of equipment # Seafarer' employment agreement SEA # Survey report file,0.716 # 0.699 # 0.683
Is access to the ship being controlled by an adequate deck watch? (V)?,Access control to ship # Safe means of access shore - ship # Bridge Navigational Watch Alarm System (BNWAS),0.742 # 0.703 # 0.703
Has a Ship Security Officer (SSO) been appointed and trained adequately to perform the duties of SSO and have all crew received security-related training and instructions? (V)?,Ship security officer # Ship Security Officer certificate # Security drills,0.792 # 0.775 # 0.722
Are deck officers familiar with the function and use of the Ship Security Alert System and is the Ship Security Alert System being tested regularly? (V)?,Ship security alert system # Operation of GMDSS equipment # Facilities for reception of marine safety information,0.761 # 0.732 # 0.728
"Is if the vessel transits or may transit a high-risk piracy area, are updated security charts and publications being provided? (V)?",Facilities for reception of marine safety information # Charts # Security related defects,0.733 # 0.728 # 0.720
"Is if the vessel transited or may transit an area with a high risk of piracy, has a voyage risk assessment been produced? (V)?",Facilities for reception of marine safety information # Security related defects # Long-Range Identification and Tracking system (LRIT),0.719 # 0.711 # 0.709
Have preventive measures been taken by the master and crew during the stay in port and prior to departure to prevent stowaways? (V)?,Stowage # Safe means of access shore - ship # Security related defects,0.749 # 0.738 # 0.736
Are cyber security policies and procedures being incorporated in the safety management system and was the cyber security management system evaluated and certified by Class? (V)?,"Risk evaluation, training and instruction to seafarers # Functionality of Safety Systems # ISM",0.676 # 0.674 # 0.673
"Are measures in place for controlling the use of removable media such as USB memory sticks, CDs, DVDs, and diskettes on shipboard computers? (V)?",Garbage # Facilities for reception of marine safety information # Electronic charts (ECDIS),0.683 # 0.667 # 0.667
"Are adequate engineering procedures, instructions and guidelines included in the SMS? (V)?",Operation/maintenance # ISM # Facilities for reception of marine safety information,0.705 # 0.701 # 0.699
Is an engineer manning matrix in place and are the responsibilities of watch standing engineers and engine ratings clearly defined and posted in the Engine Control Room? (V)?,Certificate for rating for watchkeeping # Manning specified by the minimum safe manning doc # Certificate for rating able seafarer deck/engine and electro-technical,0.737 # 0.737 # 0.734
"Have specific standing orders been prepared by the chief engineer and have these orders along with the night order book been read, understood, and signed by the watch standing engineers, engine crew and electrical engineer, where applicable? (V & M)?",Certificate for rating for watchkeeping # Manning specified by the minimum safe manning doc # Fire drills,0.724 # 0.717 # 0.715
"Is if the vessel has been certified for periodically unattended machinery spaces (UMS), is the machinery space being operated in that mode? (V)?",UMS-ship # Unattended machinery spaces (UMS) evidence # UMS-alarms,0.827 # 0.807 # 0.759
"Is if the engine room is not being operated in UMS mode, are there sufficient engineers and crew on board for safe operation of the machinery space? (V)?",UMS-ship # Unattended machinery spaces (UMS) evidence # UMS-alarms,0.822 # 0.819 # 0.792
